Date,Category,Amount (GHS),Payment Method,Description
10/4/2025,Food,17,MoMo,Breakfast 
10/4/2025,Transport,65,Cash,Transport to funeral
10/5/2025,Food Stuffs,34,Cash,Food stuffs to cook
10/5/2025,Transport,10,Cash,Taxi to church
10/6/2025,Food,25,MoMo,Bought lunch at campus
10/6/2025,Transport,10,Cash,Taxi to Work
10/6/2025,Airtime,5,Momo,Telecel Data Bundle
10/6/2025,Food Stuffs,20,Cash,Food stuffs to cook
10/6/2025,Airtime,5,MoMo,MTN airtime
10/7/2025,Food,12,MoMo,Breakfast 
10/7/2025,Transport,15,Cash,Troski to work
10/7/2025,Airtime,5,Momo,MTN airtime
10/7/2025,Giving,50,Momo,Sent money to a friend
10/8/2025,Transport,12,Cash,Troski to work
10/8/2025,Food,14,MoMo,Breakfast 
10/8/2025,Food,25,Cash,Lunch
10/8/2025,Contribution,20,MoMo,Class group contribution
